"PRECID","PFIRM","POFFIC","PACCT","PATYPE","PCTYM","PSTRIK","PTDATE","PBS","PSPRED","PTRACE","PCLASS","PQTY","PMKVAL","PLTDAT","PEXCH","PFC","PTRDEX","PCLOSE","POC","PCARD","PGIVIO","PGIVF#","PORDTY","PDELET","PDEST","PUSER","PTPRIC","PSNAME","PSDSC1","PPRTPR","PPRTCP","PYSTMV","PBQTY","PSQTY","PCUSIP","PFEE1","PFEE2","PFEE3","PFEE4","PFEE5","PFEE6","PFEE7","PFEE8","PFEE9","PGICHG","PBKCHG","POTHER","PFUFE1","PFUFE2","PFUFE3","PFUFE4","PFUFE5","PFUFE6","PFUFE7","PFUFE8","PFUFE9","PFUGIV","PFUBKG","PFUOTH","PDELTA","PCOMM","PDEAL","PSDATE","PUNDCP","PCMNT1"
"Q","G","1T1","XXXXX","U1","202103","0.00000000","20201130","1"," ","1E12 E9GN0","T","-1.0000","-5025.00","20210312","01","C-","01","5.31500000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","4.31000000","GAVILON TEST ACCT   ","MAR 21 CBT CORN               ","   4.31    ","   5.31 1/2","0.00","-1.0000","0.0000",".AC-0000021C","0.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.60","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20201130","0.00000000","  "
"Q","G","1T1","XXXXX","U1","202103","0.00000000","20201130","1"," ","1E12 E9GO0","T","-1.0000","-4975.00","20210312","01","C-","01","5.31500000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","4.32000000","GAVILON TEST ACCT   ","MAR 21 CBT CORN               ","   4.32    ","   5.31 1/2","0.00","-1.0000","0.0000",".AC-0000021C","0.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.60","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20201130","0.00000000","  "
"Q","G","1T1","XXXXX","U1","202103","0.00000000","20201130","1"," ","1E12 E9GI0","T","-4.0000","-18750.00","20210312","01","C-","01","5.26000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","4.32250000","GAVILON TEST ACCT   ","MAR 21 CBT CORN               ","   4.32 1/4","   5.26    ","0.00","-4.0000","0.0000",".AC-0000021C","2.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.40","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20201130","0.00000000","  "
"Q","G","1T1","XXXXX","U1","202103","0.00000000","20201130","1"," ","1E12 E9GJ0","T","-1.0000","-4675.00","20210312","01","C-","01","5.26000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","4.32500000","GAVILON TEST ACCT   ","MAR 21 CBT CORN               ","   4.32 1/2","   5.26    ","0.00","-1.0000","0.0000",".AC-0000021C","0.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.60","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20201130","0.00000000","  "
"Q","G","1T1","XXXXX","U1","202103","0.00000000","20201130","1"," ","1E12 E9GK0","T","-3.0000","-13800.00","20210312","01","C-","01","5.26000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","4.34000000","GAVILON TEST ACCT   ","MAR 21 CBT CORN               ","   4.34    ","   5.26    ","0.00","-3.0000","0.0000",".AC-0000021C","1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20201130","0.00000000","  "
"Q","G","1T1","XXXXX","U1","202103","0.00000000","20201130","1"," ","1E12 E9GL0","T","-2.0000","-18350.00","20210312","01","C-","01","5.26000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","4.34250000","GAVILON TEST ACCT   ","MAR 21 CBT CORN               ","   4.34 1/4","   5.26    ","0.00","-2.0000","0.0000",".AC-0000021C","1.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.20","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20201130","0.00000000","  "
"Q","G","1T1","XXXXX","U1","202103","0.00000000","20201130","1"," ","1E12 E9L00","T","-2.0000","-11275.00","20210312","01","C-","01","5.47000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","4.34250000","GAVILON TEST ACCT   ","MAR 21 CBT CORN               ","   4.34 1/4","   5.47    ","0.00","-2.0000","0.0000",".AC-0000021C","1.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.20","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20201130","0.00000000","  "
"Q","G","1T1","XXXXX","U1","202103","0.00000000","20201130","1"," ","1E12 E9L10","T","-2.0000","-11250.00","20210312","01","C-","01","5.47000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","4.34500000","GAVILON TEST ACCT   ","MAR 21 CBT CORN               ","   4.34 1/2","   5.47    ","0.00","-2.0000","0.0000",".AC-0000021C","1.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.20","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20201130","0.00000000","  "
"Q","G","1T1","XXXXX","U1","202103","0.00000000","20201130","1"," ","1E12 E9LR0","T","-3.0000","-16200.00","20210312","01","C-","01","5.43000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","4.35000000","GAVILON TEST ACCT   ","MAR 21 CBT CORN               ","   4.35    ","   5.43    ","0.00","-3.0000","0.0000",".AC-0000021C","1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20201130","0.00000000","  "
"Q","G","1T1","XXXXX","U1","202103","0.00000000","20210118","2"," ","1E12 E9GP0","T","-2.0000","-50.00","20210312","01","C-","01","5.31500000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","5.32000000","GAVILON TEST ACCT   ","MAR 21 CBT CORN               ","   5.32    ","   5.31 1/2","0.00","0.0000","-2.0000",".AC-0000021C","1.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.20","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210118","0.00000000","  "
